term_PT,term_HLT,term_HLGT,term_SOC
stenosis of vesicourethral anastomosis,urinary tract procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
anembryonic gestation,abortion related conditions and complications,abortions and stillbirth,"pregnancy, puerperium and perinatal conditions"
aplastic anaemia,marrow depression and hypoplastic anaemias,anaemias nonhaemolytic and marrow depression,blood and lymphatic system disorders
laboratory test,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
haemorrhagic necrotic pancreatitis,acute and chronic pancreatitis,exocrine pancreas conditions,gastrointestinal disorders
orphan,family and partner issues,family issues,social circumstances
biopsy fallopian tube,reproductive organ and breast histopathology procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
red blood cell agglutination,red blood cell abnormal findings nec,red blood cell disorders,blood and lymphatic system disorders
porphyrins urine abnormal,haem metabolism analyses,"metabolic, nutritional and blood gas investigations",investigations
tetrahydrocortisone urine decreased,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
international normalised ratio fluctuation,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
ureteric calculus removal,ureteric therapeutic procedures,renal and urinary tract therapeutic procedures,surgical and medical procedures
fixed bowel loop,gastrointestinal signs and symptoms nec,gastrointestinal signs and symptoms,gastrointestinal disorders
ocular deposits removal,eye therapeutic procedures nec,eye therapeutic procedures,surgical and medical procedures
primary syphilis,treponema infections,bacterial infectious disorders,infections and infestations
toxicity to various agents,poisoning and toxicity,"exposures, chemical injuries and poisoning","injury, poisoning and procedural complications"
application site scar,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
myomectomy,uterine therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
post-traumatic neck syndrome,"muscle, tendon and ligament injuries",injuries nec,"injury, poisoning and procedural complications"
psychomotor disadaptation syndrome,cortical dysfunction nec,neurological disorders nec,nervous system disorders
pancreatic islets hyperplasia,endocrine disorders nec,endocrine and glandular disorders nec,endocrine disorders
arterial injury,cardiovascular injuries,injuries nec,"injury, poisoning and procedural complications"
abscess drainage,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
sense of a foreshortened future,mood alterations with depressive symptoms,depressed mood disorders and disturbances,psychiatric disorders
thymol turbidity test abnormal,protein analyses nec,protein and chemistry analyses nec,investigations
breast discolouration,breast signs and symptoms,breast disorders,reproductive system and breast disorders
pericardial rub,pericardial disorders nec,pericardial disorders,cardiac disorders
coxsackie endocarditis,coxsackie viral infections,viral infectious disorders,infections and infestations
vaccination site dermatitis,vaccination site reactions,administration site reactions,general disorders and administration site conditions
acquired mitochondrial dna deletion,genetic mitochondrial abnormalities nec,cytoplasmic disorders congenital,"congenital, familial and genetic disorders"
parasite tissue specimen test positive,parasite identification and serology,microbiology and serology investigations,investigations
prolonged labour,labour onset and length abnormalities,maternal complications of labour and delivery,"pregnancy, puerperium and perinatal conditions"
placental necrosis,placental abnormalities (excl neoplasms),"placental, amniotic and cavity disorders (excl haemorrhages)","pregnancy, puerperium and perinatal conditions"
bruxism,stereotypies and automatisms,changes in physical activity,psychiatric disorders
blood count abnormal,blood counts nec,haematology investigations (incl blood groups),investigations
administration site abscess sterile,administration site reactions nec,administration site reactions,general disorders and administration site conditions
polyomavirus-associated nephropathy,polyomavirus infections,viral infectious disorders,infections and infestations
bursal fluid accumulation,bursal disorders,synovial and bursal disorders,musculoskeletal and connective tissue disorders
penile plaque,penile disorders nec (excl erection and ejaculation),penile and scrotal disorders (excl infections and inflammations),reproductive system and breast disorders
hepatic ischaemia,hepatic vascular disorders,hepatic and hepatobiliary disorders,hepatobiliary disorders
cholangitis infective,hepatobiliary and spleen infections,infections - pathogen unspecified,infections and infestations
ureteral disorder,ureteric disorders nec,ureteric disorders,renal and urinary disorders
pressure of speech,speech articulation and rhythm disturbances,communication disorders and disturbances,psychiatric disorders
pupillary deformity,pupil disorders,ocular neuromuscular disorders,eye disorders
cardiac dysfunction,cardiac disorders nec,"cardiac disorders, signs and symptoms nec",cardiac disorders
hemiparesis,paralysis and paresis (excl cranial nerve),movement disorders (incl parkinsonism),nervous system disorders
plasmin increased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
fear of open spaces,fear symptoms and phobic disorders (incl social phobia),anxiety disorders and symptoms,psychiatric disorders
cerebral artery stenosis,central nervous system vascular disorders nec,central nervous system vascular disorders,nervous system disorders
laryngeal tremor,tremor (excl congenital),movement disorders (incl parkinsonism),nervous system disorders
right atrial volume abnormal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
phrenic nerve injury,nerve injuries nec,injuries nec,"injury, poisoning and procedural complications"
oestriol normal,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
sexual abuse,criminal activity,legal issues,social circumstances
cyp1a2 gene status assay,gene analyses,cytogenetic investigations,investigations
somatic symptom disorder,somatic symptom disorders,somatic symptom and related disorders,psychiatric disorders
muscle strength abnormal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
