ENG,term_HLT,term_HLGT,term_SOC
Urethral stricture postoperative,Urinary tract procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Post infection glomerulonephritis,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal and urinary disorders
Joint instability,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders
Enterobiasis,Nematode infections,Helminthic disorders,Infections and infestations
Juvenile melanoma benign,Skin neoplasms benign,Cutaneous neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Hyperglycaemic seizure,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nervous system disorders
Specific gravity urine increased,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Urea cycle disorder,Inborn errors of amino acid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Haemodilution induction procedure,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Blood phosphorus,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
CSF red blood cell count,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Cardiac septal hypertrophy,Myocardial disorders NEC,Myocardial disorders,Cardiac disorders
Thoracic operation,Chest wall and mediastinal therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Nosocomial infection,Infectious transmissions,Ancillary infectious topics,Infections and infestations
Infective mesenteric panniculitis,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Serum ferritin,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Haptoglobin abnormal,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Blood creatinine,Renal function analyses,Renal and urinary tract investigations and urinalyses,Investigations
Anaplastic lymphoma kinase gene and nucleophosmin gene fusion overexpression,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Cardiovascular examination abnormal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Ovarian abscess,Female reproductive tract infections,Infections - pathogen unspecified,Infections and infestations
Anorectal sensory loss,Anal and rectal signs and symptoms,Anal and rectal conditions NEC,Gastrointestinal disorders
Base excess increased,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Myeloblast count,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Vascular test,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Investigations
Cystitis interstitial,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal and urinary disorders
Pneumocystis jirovecii pneumonia,Pneumocystis infections,Fungal infectious disorders,Infections and infestations
Neuroprosthesis implantation,Nervous system therapeutic procedures NEC,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Treponema test,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Myeloblast count increased,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Reversible airways obstruction,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders"
Respiratory tract irritation,Respiratory tract disorders NEC,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
Antidepressant discontinuation syndrome,Withdrawal and rebound effects,Therapeutic and nontherapeutic effects (excl toxicity),General disorders and administration site conditions
Pneumonia cryptococcal,Cryptococcal infections,Fungal infectious disorders,Infections and infestations
Kleihauer-Betke test negative,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Instillation site warmth,Application and instillation site reactions,Administration site reactions,General disorders and administration site conditions
Breast cyst rupture,Benign and malignant breast neoplasms,Breast disorders,Reproductive system and breast disorders
Hereditary angioedema with normal C1 esterase inhibitor,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Zeichi-Ceide syndrome,Musculoskeletal disorders congenital NEC,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Blood homocysteine increased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Ischaemic contracture of the left ventricle,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Vaginal cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Penile wart,Reproductive neoplasms male benign NEC,Reproductive neoplasms male benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Urinary glycosaminoglycans increased,Lysosomal enzyme analyses,Enzyme investigations NEC,Investigations
Progesterone increased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Dyskinesia,Dyskinesias and movement disorders NEC,Movement disorders (incl parkinsonism),Nervous system disorders
Synovial fluid analysis normal,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Thyroid B-cell lymphoma,B-cell lymphomas NEC,Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
High grade B-cell lymphoma Burkitt-like lymphoma stage III,High grade B-cell lymphomas Burkitt-like lymphoma,Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Multiple subpial transection,Skull and brain therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Costovertebral angle tenderness,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders
Gastrointestinal hypermotility,Gastrointestinal spastic and hypermotility disorders,Gastrointestinal motility and defaecation conditions,Gastrointestinal disorders
Trans-sexualism,Sexuality issues,Gender related factors,Social circumstances
Pleurisy viral,Viral infections NEC,Viral infectious disorders,Infections and infestations
Pelvic kidney,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders"
Visceral oedema,Oedema NEC,General system disorders NEC,General disorders and administration site conditions
Implant tissue necrosis,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Neonatal respiratory arrest,Neonatal hypoxic conditions,Neonatal respiratory disorders,"Respiratory, thoracic and mediastinal disorders"
Ecouvillonage,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Cardiac output increased,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Asthma late onset,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders"
Post coital contraception,Contraceptive methods female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Oral candidiasis,Candida infections,Fungal infectious disorders,Infections and infestations
Cytomegalovirus urinary tract infection,Cytomegaloviral infections,Viral infectious disorders,Infections and infestations
Wrong technique in product usage process,"Medication errors, product use errors and issues NEC",Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
"Brief psychotic disorder, with postpartum onset",Brief psychotic disorder,Schizophrenia and other psychotic disorders,Psychiatric disorders
Prohormone brain natriuretic peptide decreased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Activated partial thromboplastin time ratio decreased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Assisted reproductive technology,Fertility and fertilisation interventions female,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Blood ketone body decreased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Alpha 1 foetoprotein amniotic fluid abnormal,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Macula thickness measurement,Ophthalmic histopathology and imaging procedures,"Neurological, special senses and psychiatric investigations",Investigations
Herpes simplex test negative,Virus identification and serology,Microbiology and serology investigations,Investigations
