,LLT,PT
8303,aldosterone resistance,pseudohypoaldosteronism
8304,electrolytes urine decreased,urine electrolytes decreased
8305,pulmonary toxicity nos,pulmonary toxicity
8306,plasma cholinesterase normal,blood cholinesterase normal
8307,zinc decreased,blood zinc decreased
8308,negative myoclonus,myoclonus
8309,mycobacterium bovis test positive,mycobacterium tuberculosis complex test positive
8310,heat rash,miliaria
8311,reflex tachycardia,tachycardia
8312,endometrial carcinoma stage iv,endometrial cancer stage iv
8313,eye burns nos,thermal burns of eye
8314,carcinoma in situ of cervix,cervix carcinoma stage 0
8315,"subjective visual disturbance, unspecified",visual impairment
8316,shigella boydii gastroenteritis,gastroenteritis shigella
8317,hypoglycaemia nos,hypoglycaemia
8318,congenital ichthyosis,ichthyosis
8319,physical treatment of lymphatic oedema,manual lymphatic drainage
8320,pupils constricted,miosis
8321,afibrinogenemia,factor i deficiency
8322,iliac fossa pain,abdominal pain lower
8323,vasodilatory shock,distributive shock
8324,indirect coombs test positive,coombs indirect test positive
8325,fredrickson type iii lipidaemia,type iii hyperlipidaemia
8326,pyrosis,dyspepsia
8327,hiv-3,hiv infection cdc group iii
8328,lipidosis nos,lipidosis
8329,anaesthesia intubation complication,endotracheal intubation complication
8330,benign neoplasm of short bones of lower limb,benign bone neoplasm
8331,mixed osteosarcoma recurrent,osteosarcoma recurrent
8332,cold antibody haemolytic anaemia,cold type haemolytic anaemia
8333,quick's test,prothrombin time
8334,complications of reattached hand,complications of limb reattachment surgery
8335,congo-crimean hemorrhagic fever viral infection,congo-crimean haemorrhagic fever
8336,"tuberculosis of mastoid, confirmed by bacterial culture",bone tuberculosis
8337,rabies virus test positive,lyssavirus test positive
8338,gastrointestinal edema,gastrointestinal oedema
8339,perichondritis nos,perichondritis
8340,acquired deformity of nose,nose deformity
8341,senile nuclear sclerosis,cataract nuclear
8342,thrombophlebitis septic pelvic,thrombophlebitis septic
8343,adenocarcinoma of the cardia recurrent,adenocarcinoma gastric
8344,brainstem auditory evoked response normal,brain stem auditory evoked response normal
8345,skiing accident,accident
8346,incisional herniorrhaphy,incisional hernia repair
8347,descending muscle weakness,muscular weakness
8348,stool tarry,melaena
8349,chlamydia identification test negative,chlamydia test negative
8350,dietary chaos syndrome,anorexia and bulimia syndrome
8351,crt-p,cardiac resynchronisation therapy
8352,carcinoma gastrointestinal,gastrointestinal carcinoma
8353,fsh elevated,blood follicle stimulating hormone increased
8354,flaccid paralysis,paralysis
8355,lower skeletal extremity x-ray normal,x-ray limb normal
8356,barbiturates nos high,barbiturates positive
8357,acute periodontitis,periodontitis
8358,nicotine addiction,nicotine dependence
8359,umbilical venous catheter placement,catheterisation venous
8360,capillaroscopy,angioscopy
8361,basaloid carcinoma of the anus stage iv,anal cancer stage iv
8362,ascites amylase,amylase
8363,toxic shock syndrome nos,toxic shock syndrome
8364,lumpectomy,breast conserving surgery
8365,intraoperative venous injury,vascular procedure complication
8366,arachnoiditis adhesive chronic,arachnoiditis
8367,reduced lacrimal gland secretion,lacrimation decreased
8368,colitis haemorrhagic,enterocolitis haemorrhagic
8369,urothelial carcinoma bladder stage iv,bladder transitional cell carcinoma stage iv
8370,zika virus test positive,flavivirus test positive
8371,urinary incontinence aggravated,urinary incontinence
8372,hypertensive retinopathy grade 4,retinopathy hypertensive
8373,hypersensitivity test positive,allergy test positive
8374,high birthweight baby,large for dates baby
8375,angio-edema,angioedema
8376,"rheumatic heart disease, other and unspecified",rheumatic heart disease
8377,edema blister,oedema blister
8378,lymphadenitis cervical,lymphadenitis
8379,hypoinsulinemia postoperative,hypoinsulinaemia postoperative
8380,mesothelioma malignant nos,mesothelioma malignant
8381,uterus enlarged,uterine enlargement
8382,bordetella pertussis serology positive,bordetella test positive
8383,cirrhosis liver post necrotic,hepatic cirrhosis
8384,alcoholic fatty liver,fatty liver alcoholic
8385,extragenital endometriosis,endometriosis
8386,product commingling dispensing error,product dispensing error
8387,neonatal oxygen desaturation,neonatal hypoxia
8388,esophageal squamous cell carcinoma stage iv,oesophageal squamous cell carcinoma stage iv
8389,achilles tendonitis,tendonitis
8390,vaccination site tenderness,vaccination site pain
8391,abscess operations,abscess drainage
8392,leukemia monocytic chronic,chronic myelomonocytic leukaemia
8393,fibrinolysis inhibitor increased,plasmin inhibitor increased
8394,ruptured diverticulum of colon,large intestine perforation
8395,device extension migration,device dislocation
8396,thoracic pedicle fracture,thoracic vertebral fracture
8397,urine cotinine test negative,nicotine test negative
8398,vaginal neoplasm nos,vaginal neoplasm
8399,t wave amplitude decreased,electrocardiogram t wave amplitude decreased
8400,adhesive tape allergy,dermatitis contact
8401,orbital pseudotumour,idiopathic orbital inflammation
8402,laryngeal biopsy,biopsy larynx
8403,erythema multiforme associated with phenytoin and cranial radiation therapy syndrome,erythema multiforme
8404,cervical carcinoma stage ia,cervix carcinoma stage i
8405,chronic erythraemia without mention of remission,polycythaemia vera
8406,carcinoma duodenum,small intestine carcinoma
8407,"infectious and parasitic diseases, unspecified",infection
8408,corneal epithelium disorder,corneal disorder
8409,x-ray nos urinary system normal,urinary system x-ray normal
8410,moraxella catarrhalis secondary bacterial infection of acute bronchitis,bronchitis moraxella
8411,sputum excretion difficulty,sputum retention
8412,neck strain,muscle strain
8413,congenital methemoglobinemia m type,congenital methaemoglobinaemia
8414,vaginal inflammation,vulvovaginal inflammation
8415,laboratory test abnormal nos,laboratory test abnormal
8416,anticoagulant reversal therapy,procoagulant therapy
8417,klismaphilia,paraphilia
8418,flushed chest,flushing
8419,toxic effect of acids,chemical poisoning
8420,erythema due to burn (first degree) of ankle,burns first degree
8421,healthcare associated pneumonia,pneumonia
8422,discharge from arteriovenous graft,vascular graft complication
8423,infected rash,dermatitis infected
8424,blood myoglobin increased,myoglobin blood increased
8425,malignant neoplasm of jejunum recurrent,small intestine carcinoma recurrent
8426,numbness of mouth angular,hypoaesthesia oral
8427,epstein-barr virus igm antibody positive,epstein-barr virus antibody positive
8428,cryolipolysis procedure,lipolysis procedure
8429,oesophageal stricture,oesophageal stenosis
8430,localized skin reaction,skin reaction
8431,heartbeats skipped,extrasystoles
8432,esophageal squamous cell carcinoma cervical stage unspecified,oesophageal squamous cell carcinoma
8433,hodgkin's granuloma involving lymph nodes of multiple sites,hodgkin's disease stage iii
8434,idiopathic (ipah),pulmonary arterial hypertension
8435,belly button infection,omphalitis
8436,trichinella infection,trichiniasis
8437,hydrocele male,hydrocele
8438,naevus vascular,haemangioma
8439,chemosis,conjunctival oedema
8440,rickets (vitamin d resistant),hereditary hypophosphataemic rickets
8441,dvt,deep vein thrombosis
8442,white blood cell abnormalities,white blood cell disorder
8443,crigler-najjar syndrome type i,crigler-najjar syndrome
8444,scaffold malapposition,stent malfunction
8445,adenoid ameloblastoma with dentinoid,ameloblastoma
8446,autosomal dominant hereditary ataxia,hereditary ataxia
8447,paranasal sinus cancer,nasal sinus cancer
8448,"benign neoplasm of skin of trunk, excl scrotum",benign neoplasm of skin
8449,neurilemoma malignant,neurofibrosarcoma
8450,estriol decreased,oestriol decreased
8451,xo genotype,turner's syndrome
8452,drug administration monitoring procedure incorrectly performed,drug monitoring procedure incorrectly performed
8453,ptyalism,salivary hypersecretion
8454,staging laparotomy,laparotomy
8455,al-p increased,blood alkaline phosphatase increased
8456,perforation esophagus,oesophageal perforation
8457,immunofixation,immunology test
8458,intervertebral disc bulging,intervertebral disc protrusion
8459,serum immunoglobulin g increased,blood immunoglobulin g increased
8460,abdominal symptom nos,abdominal symptom
8461,aids-related anal cancer recurrent,anal cancer recurrent
8462,paraneoplastic cerebellar degeneration,secondary cerebellar degeneration
8463,neonatal apneic attack,infantile apnoea
8464,incontinence faecal,anal incontinence
8465,prophylaxis against heart transplant rejection,prophylaxis against transplant rejection
8466,casts urinary renal epithelial cells,urinary casts
8467,hereditary haemolytic anaemia enzyme deficiency,hereditary haemolytic anaemia
8468,"insect bite, non-venomous, of fingers, without mention of infection",arthropod bite
8469,"polydactyly, unspecified digits",polydactyly
8470,nondependent abuse of drugs of amphetamine type,drug abuse
8471,aspartate aminotransferase increase,aspartate aminotransferase increased
8472,bromide decreased,blood bromide decreased
8473,device discoloration,device colour issue
8474,kinesiotherapy,kinesitherapy
8475,neisseria gonorrhoeae urethritis chronic,urethritis gonococcal
8476,hemorrhage (nos),haemorrhage
8477,lymphoblastic lymphoma (precursor b-lymphoblastic lymphoma/leukemia) refractory,precursor b-lymphoblastic lymphoma refractory
8478,lead urine abnormal,lead urine increased
8479,cerebellar hematoma,cerebellar haematoma
8480,luteinizing hormone decreased,blood luteinising hormone decreased
8481,glucosuria false positive,urine glucose false positive
8482,unspecified disorder of binocular eye movements,binocular eye movement disorder
8483,impulsive act,impulsive behaviour
8484,fertility decreased,infertility
8485,ct scan normal,computerised tomogram normal
8486,head cold,nasopharyngitis
8487,vibrio parahaemolyticus test positive,vibrio test positive
8488,"angioimmunoblastic (aild, lgx) (kiel classification) stage i",angioimmunoblastic t-cell lymphoma stage i
8489,"tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy",tuberculosis bladder
8490,farmer's lung,hypersensitivity pneumonitis
8491,synovial fluid neutrophils present,synovial fluid white blood cells positive
8492,splenic neoplasm,splenic neoplasm malignancy unspecified
8493,pain at rest,pain
8494,"paranoid type schizophrenia, chronic state",schizophrenia
8495,post essential thrombocythaemia myelofibrosis,myelofibrosis
8496,vaginal intraepithelial neoplasia grade iii,vaginal cancer stage 0
8497,essential fatty acid deficiency,fatty acid deficiency
8498,trans-sphincteric fistula,anal fistula
8499,ihd,myocardial ischaemia
8500,extremities hot feeling of,feeling hot
8501,tympanocentesis,myringotomy
8502,"benign neoplasm of pancreas, excl islets of langerhans",benign pancreatic neoplasm
8503,forster's operation,radiculotomy
8504,extrapulmonary acute respiratory distress syndrome,acute respiratory distress syndrome
8505,device use beyond labeled duration,device use issue
8506,urine beta-alanine increased,amino acid level increased
8507,atrophy of testis,testicular atrophy
8508,maturation arrest erythroid,erythroid maturation arrest
8509,japan coma scale,coma scale
8510,acute hemorrhage,haemorrhage
8511,adrenocorticotropic hormone abnormal,blood corticotrophin abnormal
8512,eyelid tumor,eyelid tumour
8513,"malignant neoplasm of upper lobe, bronchus or lung, recurrent",lung carcinoma cell type unspecified recurrent
8514,inferior alveolar nerve block anesthesia,dental local anaesthesia
8515,machupo virus infection,bolivian haemorrhagic fever
8516,hepatic cancer stage iiib,hepatic cancer stage iii
8517,lawrence-seip syndrome,acquired lipoatrophic diabetes
8518,anal tear,anal fissure
8519,generalised chest pain,chest pain
8520,whole blood transfusion,transfusion
8521,labour precipitous,precipitate labour
8522,skin hyperaemia,erythema
8523,diffuse large cell lymphoma (intestinal t-cell lymphoma) (working formulation) recurrent,intestinal t-cell lymphoma recurrent
8524,2019 novel coronavirus infection,covid-19
8525,neurofibrosarcoma nos,neurofibrosarcoma
8526,sars-cov-2 acute respiratory disease,covid-19
8527,renal tubular disorder nos,renal tubular disorder
8528,inanition,starvation
8529,viral rash nos,viral rash
8530,chemotherapeutic drug level nos increased,chemotherapeutic drug level increased
